ABBREVIATION,TITLE
RESULTS OPT.,RESULTS IN OPTICS
RESULTS PHARMA SCI.,RESULTS IN PHARMA SCIENCES
RESULTS PHYS.,RESULTS IN PHYSICS
RESULTS SURF. INTERFACES,RESULTS IN SURFACES AND INTERFACES
RETHINKING ECOL.,RETHINKING ECOLOGY
REV. ACCEL SCI. TECHNOL.,REVIEWS OF ACCELERATOR SCIENCE AND TECHNOLOGY
REV. ACT. METALLGES. AG,REVIEW OF THE ACTIVITIES METALLGESELLSCHAFT AG
REV. ADV. MATER. SCI.,REVIEWS ON ADVANCED MATERIALS SCIENCE
REV. ANAL. CHEM,REVIEWS IN ANALYTICAL CHEMISTRY
REV. AQUACULT.,REVIEWS IN AQUACULTURE
REV. ARVORE,REVISTA ARVORE
REV. AUTOMOT. ENG.,REVIEW OF AUTOMOTIVE ENGINEERING
REV. BOLIV. QUIM.,REVISTA BOLIVIANA DE QUIMICA
REV. BRAS. APL. VACUO,REVISTA BRASILEIRA DE APLICACOES DE VACUO
REV. BRAS. ENG. AGRIC. AMBIENTAL,REVISTA BRASILEIRA DE ENGENHARIA AGRICOLA E AMBIENTAL
REV. BRAS. ENSINO QUIM.,REVISTA BRASILEIRA DE ENSINO DE QUIMICA
REV. BRAS. ENTOMOL.,REVISTA BRASILEIRA DE ENTOMOLOGIA
REV. BRAS. FIS.,REVISTA BRASILEIRA DE FISICA
REV. BRAS. GEOFIS.,REVISTA BRASILEIRA DE GEOFISICA
REV. BRAS. OCEANGR.,REVISTA BRASILEIRA DE OCEANOGRAFIA
REV. CHEM. ENG.,REVIEWS IN CHEMICAL ENGINEERING
REV. CHIL. HIST. NAT.,REVISTA CHILENA DE HISTORIA NATURAL
REV. CHIM.,REVISTA DE CHIMIE
REV. COLOMB. ENTOMOL.,REVISTA COLOMBIANA DE ENTOMOLOGIA
REV. COLOMB. QUIM.,REVISTA COLOMBIANA DE QUIMICA
REV. COMPOS. MATER. AV.,REVUE DES COMPOSITES ET DES MATERIAUX AVANCES
REV. COMPUT. CHEM.,REVIEWS IN COMPUTATIONAL CHEMISTRY
REV. CONSERV.,REVIEWS IN CONSERVATION
REV. CONSTR.,REVISTA DE LA CONSTRUCCION
REV. ELECTR. ELECTRON.,REVUE DE L'ELECTRICITE ET DE L'ELECTRONIQUE
REV. ENVIRON. CONTAM. TOXICOL.,REVIEWS OF ENVIRONMENT CONTAMINATION AND TOXICOLOGY
REV. ENVIRON. HEALTH,REVIEWS ON ENVIRONMENTAL HEALTH
REV. ENVIRON. SCI. BIOTECHNOL.,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIOTECHNOLOGY
REV. ENVIRON. TOXICOL.,REVIEWS IN ENVIRONMENTAL TOXICOLOGY
REV. FISH BIOL. FISH.,REVIEWS IN FISH BIOLOGY AND FISHERIES
REV. FISH. SCI. AQUACULT.,REVIEWS IN FISHERIES SCIENCE & AQUACULTURE
REV. FITOTEC. MEX.,REVISTA FITOTECNIA MEXICANA
REV. FR. GEOTECH.,REVUE FRANCAISE DE GEOTECHNIQUE
REV. FR. OENOL.,REVUE FRANCAISE D'OENOLOGIE
REV. GEN. CAOUTCH. PLAST.,REVUE GENERALE DES CAOUTCHOUCS & PLASTIQUES
REV. GEN. THERM.,REVUE GENERALE DE THERMIQUE
REV. GEOFIS.,REVISTA GEOFISICA
REV. GEOL. CHILE,REVISTA GEOLOGICA DE CHILE
REV. GEOPHYS.,REVIEWS OF GEOPHYSICS
REV. GEOPHYS. SPACE PHYS.,REVIEWS OF GEOPHYSICS AND SPACE PHYSICS
REV. HUM. FACTORS ERGON.,REVIEWS OF HUMAN FACTORS AND ERGONOMICS
REV. IBEROAM. AUTOM. INF. IND.,RIAI REVISTA IBEROAMERICANA DE AUTOMATICA E INFORMATICA INDUSTRIAL
REV. IEEE AM. LAT.,REVISTA IEEE AMERICA LATINA
REV. ING. UNIV. MEDELLIN,REVISTA INGENIERIAS UNIVSIDAD DE MEDELLIN
REV. INORG. CHEM.,REVIEWS IN INORGANIC CHEMISTRY
REV. INST. MEX. ING. CHIM.,REVISTA DEL INSTITUTO MEXICANO DE INGENIEROS QUIMICOS
REV. INST. MEX. PET.,REVISTA DEL INSTITUTO MEXICANO DEL PETROLEO
REV. INT. METODOS NUMER. CALC. DISENO ING.,REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA
REV. J. CHEM.,REVIEW JOURNAL OF CHEMISTRY
REV. LATINOAM. ING. QUIM. QUIM. APL.,REVISTA LATINOAMERICANA DE INGENIERIA QUIMICA Y QUIMICA APLICADA
REV. LATINOAM. QUIM.,REVISTA LATINOAMERICANA DE QUIMICA
REV. MAT. COMPLUTENSE,REVISTA MATEMATICA COMPLUTENSE
REV. MATH. PHYS.,REVIEWS IN MATHEMATICAL PHYSICS
REV. MED. VIROL.,REVIEWS IN MEDICAL VIROLOGY
REV. METAL.,"REVISTA DE METALURGIA (MADRID, SPAIN)"
REV. METALL. / CAH. INF. TECH.,REVUE DE METALLURGIE / CAHIERS D'INFORMATIONS TECHNIQUES
REV. MEX. ASTRON. ASTROFIS.,REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA
REV. MEX. BIODIVERS.,REVISTA MEXICANA DE BIODIVERSIDAD
REV. MEX. CIENC. FARM.,REVISTA MEXICANA DE CIENCIAS FARMACEUTICAS
REV. MEX. CIENC. PECU.,REVISTA MEXICANA DE CIENCIAS PECUARIAS
REV. MEX. FIS.,REVISTA MEXICANA DE FISICA
REV. MEX. ING. CHIM.,REVISTA MEXICANA DE INGENIERIA QUIMICA
REV. MICROPALEONTOL.,REVUE DE MICROPALEONTOLOGIE
REV. MINERAL. GEOCHEM.,REVIEWS IN MINERALOGY AND GEOCHEMISTRY
REV. MOD. PHYS.,REVIEWS OF MODERN PHYSICS
REV. MOD. PLASMA PHYS.,REVIEWS OF MODERN PLASMA PHYSICS
REV. MOL. BIOTECHNOL.,REVIEWS IN MOLECULAR BIOTECHNOLOGY
REV. NEUROSCI.,REVIEWS IN THE NEUROSCIENCES
REV. PALAEOBOT. PALYNOL.,REVIEW OF PALAEOBOTANY AND PALYNOLOGY
REV. PALEOBIOL.,REVUE DE PALEOBIOLOGIE
REV. PHYS.,REVIEWS IN PHYSICS
REV. PHYS. CHEM. JPN.,REVIEW OF PHYSICAL CHEMISTRY OF JAPAN
REV. PHYS. TECHNOL.,REVIEW OF PHYSICS IN TECHNOLOGY
"REV. PHYSIOL., BIOCHEM. PHARMACOL.",REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY
REV. PLAST. MOD.,REVISTA DE PLASTICOS MODERNOS
REV. PROG. COLOR. RELAT. TOP.,REVIEW OF PROGRESS IN COLORATION AND RELATED TOPICS
REV. QUIM. TEXT.,REVISTA DE QUIMICA TEXTIL
REV. ROUM. CHIM.,REVUE ROUMAINE DE CHIMIE
REV. ROUM. GEOPHYS.,REVUE ROUMAINE DE GEOPHYSIQUE
REV. SCI. EAU,REVUE DES SCIENCES DE L'EAU
REV. SCI. INSTRUM.,REVIEW OF SCIENTIFIC INSTRUMENTS
REV. SOC. QUIM. MEX.,REVISTA DE LA SOCIEDAD QUIMICA DE MEXICO
REV. SOC. QUIM. PERU,REVISTA DE LA SOCIEDAD QUIMICA DEL PERU
REV. SUISSE AGRIC.,REVUE SUISSE D'AGRICULTURE
REV. SUISSE VITIC. ABORIC.,REVUE SUISSE DE VITICULTURE ET ABORICULTURE
REV. SUISSE ZOOL.,REVUE SUISSE DE ZOOLOGIE
REV. SYMB. LOG.,REVIEW OF SYMBOLIC LOGIC
REV. TOXICOL.,REVIEWS IN TOXICOLOGY
RHEOL. ACTA,RHEOLOGICA ACTA
RIC REV.,RIC REVIEWS
RIC. MAT.,RICERCHE DI MATEMATICA
RIC. SCI.,RICERCA SCIENTIFICA
RICE SCI.,RICE SCIENCE
RISK ANAL.,RISK ANALYSIS
RIV. COMBUST. IND. CHIM.,RIVISTA DEI COMBUSTIBILI E DELL'INDUSTIA CHIMICA
RIVER RES. APPL.,RIVER RESEARCH AND APPLICATIONS
RIVER SYST.,RIVER SYSTEMS
RNA BIOL.,RNA BIOLOGY
ROAD MATER. PAVEMENT DES.,ROAD MATERIALS AND PAVEMENT DESIGN
ROB. AUTON. SYST.,ROBOTICS AND AUTONOMOUS SYSTEMS
ROB. COMPUT. INTEGR. MANUF.,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
ROCK MECH. ROCK ENG.,ROCK MECHANICS AND ROCK ENGINEERING
ROCKS MINER.,ROCKS AND MINERALS
ROCKY MT GEOL.,ROCKY MOUNTAIN GEOLOGY
ROFO FORTSCHR. GEB. RONTGENSTR. NUKLEARMED.,ROFO FORTSCHRITTE AUF DEM GEBIETE DER RONTGENSTRAHLEN UND DER NUKLEARMEDIZIN
ROM. AGRIC. RES.,ROMANIAN AGRICULTURAL RESEARCH
ROM. BIOTECHNOL. LETT.,ROMANIAN BIOTECHNOLOGY LETTERS
ROM. J. BIOCHEM.,ROMANIAN JOURNAL OF BIOCHEMISTRY
ROM. J. CHEM.,ROMANIAN JOURNAL OF CHEMISTRY
ROM. J. LEGAL MED.,ROMANIAN JOURNAL OF LEGAL MEDICINE
ROM. J. MATER.,ROMANIAN JOURNAL OF MATERIALS
ROM. J. PHYS.,ROMANIAN JOURNAL OF PHYSICS
RSC ADV.,RSC ADVANCES
RSC CHEM. BIOL.,RSC CHEMICAL BIOLOGY
RSC MED. CHEM.,RSC MEDICINAL CHEMISTRY
RUBBER CHEM. TECHNOL.,RUBBER CHEMISTRY AND TECHNOLOGY
RURAL LANDSCAPES: SOC. ENVIRON. HIST.,"RURAL LANDSCAPES: SOCIETY, ENVIRONMENT, HISTORY"
RUSS. CHEM. BULL.,RUSSIAN CHEMICAL BULLETIN
RUSS. CHEM. REV.,RUSSIAN CHEMICAL REVIEWS
RUSS. ENG. RES.,RUSSIAN ENGINEERING RESEARCH
RUSS. GEOL. GEOPHYS.,RUSSIAN GEOLOGY AND GEOPHYSICS
RUSS. J. APPL. CHEM.,RUSSIAN JOURNAL OF APPLIED CHEMISTRY
RUSS. J. BIOORG. CHEM.,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY
RUSS. J. COORD. CHEM.,RUSSIAN JOURNAL OF COORDINATION CHEMISTRY
RUSS. J. EARTH SCI.,RUSSIAN JOURNAL OF EARTH SCIENCES
RUSS. J. ELECTROCHEM.,RUSSIAN JOURNAL OF ELECTROCHEMISTRY
RUSS. J. GEN. CHEM.,RUSSIAN JOURNAL OF GENERAL CHEMISTRY
RUSS. J. GENET.,RUSSIAN JOURNAL OF GENETICS
RUSS. J. HERPETOL.,RUSSIAN JOURNAL OF HERPETOLOGY
RUSS. J. INORG. CHEM.,RUSSIAN JOURNAL OF INORGANIC CHEMISTRY
RUSS. J. MAR. BIOL.,RUSSIAN JOURNAL OF MARINE BIOLOGY
RUSS. J. MATH. PHYS.,RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS
RUSS. J. NON-FERROUS MET.,RUSSIAN JOURNAL OF NON-FERROUS METALS
RUSS. J. NONDESTR. TEST.,RUSSIAN JOURNAL OF NONDESTRUCTIVE TESTING
RUSS. J. ORG. CHEM.,RUSSIAN JOURNAL OF ORGANIC CHEMISTRY
RUSS. J. PAC. GEOL.,RUSSIAN JOURNAL OF PACIFIC GEOLOGY
RUSS. J. PHYS. CHEM.,RUSSIAN JOURNAL OF PHYSICAL CHEMISTRY
RUSS. J. PHYS. CHEM. A,RUSSIAN JOURNAL OF PHYSICAL CHEMISTRY A
RUSS. J. PHYS. CHEM. B,"RUSSIAN JOURNAL OF PHYSICAL CHEMISTRY B, FOCUS ON PHYSICS"
RUSS. MATH. SURV.,RUSSIAN MATHEMATICAL SURVEYS
RUSS. METALL.,RUSSIAN METALLURGY
RUSS. METEOROL. HYDROL.,RUSSIAN METEOROLOGY AND HYDROLOGY
RUSS. MICROLECTRON.,RUSSIAN MICROELECTRONICS
RUSS. PHYS. J.,RUSSIAN PHYSICS JOURNAL
S. AFR. GEOG. J.,SOUTH AFRICAN GEOGRAPHICAL JOURNAL
S. AFR. J. ANIM. SCI.,SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE
S. AFR. J. BOT.,SOUTH AFRICAN JOURNAL OF BOTANY
S. AFR. J. CHEM.,SOUTH AFRICAN JOURNAL OF CHEMISTRY
S. AFR. J. CHEM. ENG.,SOUTH AFRICAN JOURNAL OF CHEMICAL ENGINEERING
S. AFR. J. CLIN. NUTR.,SOUTH AFRICAN JOURNAL OF CLINICAL NUTRITION
S. AFR. J. ENOL. VITIC.,SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE
S. AFR. J. GEOL.,SOUTH AFRICAN JOURNAL OF GEOLOGY
S. AFR. J. IND. ENG.,SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING
S. AFR. J. IND. PSYCHOL.,SOUTH AFRICAN JOURNAL OF INDUSTRIAL PSYCHOLOGY
S. AFR. J. PLANT SOIL,SOUTH AFRICAN JOURNAL OF PLANT AND SOIL
S. AFR. J. SCI.,SOUTH AFRICAN JOURNAL OF SCIENCE
S. AFR. J. WILDL. RES.,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH
SAE INT. J. ADV. CURR. PRACT. MOBILITY,SAE INTERNATIONAL JOURNAL OF ADVANCES AND CURRENT PRACTICES IN MOBILITY
SAE INT. J. AEROSP.,SAE INTERNATIONAL JOURNAL OF AEROSPACE
SAE INT. J. COMMER. VEH.,SAE INTERNATIONAL JOURNAL OF COMMERCIAL VEHICLES
SAE INT. J. CONNECTED AUTOM. VEH.,SAE INTERNATIONAL JOURNAL OF CONNECTED AND AUTOMATED VEHICLES
SAE INT. J. ELECTRIFIED VEH.,SAE INTERNATIONAL JOURNAL OF ELECTRIFIED VEHICLES
SAE INT. J. ENGINES,SAE INTERNATIONAL JOURNAL OF ENGINES
SAE INT. J. FUELS LUBR.,SAE INTERNATIONAL JOURNAL OF FUELS AND LUBRICANTS
SAE INT. J. MATER. MANUF.,SAE INTERNATIONAL JOURNAL OF MATERIALS AND MANUFACTURING
SAE INT. J. PASSENGER CARS ELECTRON. ELECTR. SYST.,SAE INTERNATIONAL JOURNAL OF PASSENGER CARS - ELECTRONIC AND ELECTRICAL SYSTEMS
SAE INT. J. PASSENGER CARS MECH. SYST.,SAE INTERNATIONAL JOURNAL OF PASSENGER CARS - MECHANICAL SYSTEMS
SAE INT. J. SUSTAINABLE TRANSP. ENERGY ENVIRON. POLICY,"SAE INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION, ENERGY, ENVIRONMENT, & POLICY"
SAE INT. J. TRANSP. CYBERSECUR. PRIVACY,SAE INTERNATIONAL JOURNAL OF TRANSPORTATION CYBERSECURITY AND PRIVACY
SAE INT. J. TRANSP. SAF.,SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY
SAE INT. J. VEH. DYN. STAB. NVH,"SAE INTERNATIONAL JOURNAL OF VEHICLE DYNAMICS, STABILITY, AND NVH"
SAE J.,SAE JOURNAL
SAE Q. TRANS.,SAE QUARTERLY TRANSACTIONS
SAE TRANS.,SAE TRANSACTIONS
SAF. HEALTH WORK,SAFETY AND HEALTH AT WORK
SAF. RELIAB.,SAFETY AND RELIABILITY
SAF. SCI.,SAFETY SCIENCE
SAGE OPEN ENG.,SAGE OPEN ENGINEERING
SAIEE AFR. RES. J.,SAIEE AFRICA RESEARCH JOURNAL
SAIMM,SOUTHERN AFRICAN INSTITUTE OF MINING AND METALLURGY
SAMPE J.,SAMPE JOURNAL
SAR QSAR ENVIRON. RES.,SAR AND QSAR IN ENVIRONMENTAL RESEARCH
SATELL. NAVIG.,SATELLITE NAVIGATION
SAUDI J. BIOL. SCI.,SAUDI JOURNAL OF BIOLOGICAL SCIENCES
SBORNIK MATH.,SBORNIK MATHEMATICS
SCAND. J. CLIN. LAB. INVEST.,SCANDINAVIAN JOURNAL OF CLINICAL AND LABORATORY INVESTIGATION
SCAND. J. FOR. RES.,SCANDINAVIAN JOURNAL OF FOREST RESEARCH
SCAND. J. IMMUNOL.,SCANDINAVIAN JOURNAL OF IMMUNOLOGY
SCAND. J. MED. SCI. SPORTS,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS
SCAND. J. METALL.,SCANDINAVIAN JOURNAL OF METALLURGY
SCAND. J. STAT.,SCANDINAVIAN JOURNAL OF STATISTICS
SCAND. J. WORK ENVIRON. HEALTH,"SCANDINAVIAN JOURNAL OF WORK, ENVIRONMENT & HEALTH"
SCH. SCI. MATH.,SCHOOL SCIENCE AND MATHEMATICS
SCH. SCI. REV.,SCHOOL SCIENCE REVIEW
SCHMALENBACHS Z. BETRIEBSWIRTSCH. FORSCH.,SCHMALENBACHS ZEITSCHRIFT FUR BETRIEBSWIRTSCHAFTLICHE FORSCHUNG
"SCHR. KOENIGSB. GELEHRTEN GES., NATURWISS. KL.","SCHRIFTEN DER KOENIGSBERGER GELEHRTEN GESELLSCHAFT, NATURWISSENSCHAFTLICHE KLASSE"
SCHR. KONIGSB. GELEHRTEN GES.,SCHRIFTEN DER KONIGSBERGER GELEHRTEN GESELLSCHAFT
SCHR. NATURWISSEN. VERBR. NATURWISSEN. KENNT. WIEN,SCHRIFTEN DES VEREINES ZUR VERBREITUNG NATURWISSENSCHAFTLICHER KENNTNISSE IN WIEN
SCHRIFTENR. GEOL. WISSEN.,SCHRIFTENREIHE FUR GEOLOGISCHE WISSENSCHAFTEN
SCHWEISS PRUEFTECH.,SCHWEISS- UND PRUEFTECHNIK
SCHWEIZ. LAB. Z.,SCHWEIZERISCHE LABORATORIUMS ZEITSCHRIFT
SCHWEIZ. MINERAL. PETROGR. MITT.,SCHWEIZERISCHE MINERALOGISCHE UND PETROGRAPHISCHE MITTEILUNGEN
SCHWEIZ. WOCHENSCHR. CHEM. PHARM.,SCHWEIZERISCHE WOCHENSCHRIFT FUR CHEMIE UND PHARMACIE
SCI. ADV.,SCIENCE ADVANCES
SCI. ADV. MATER.,SCIENCE OF ADVANCED MATERIALS
SCI. AFR.,SCIENTIFIC AFRICAN
SCI. AGRIC.,SCIENTIA AGRICOLA
SCI. AM.,SCIENTIFIC AMERICAN
SCI. AM. MIND,SCIENTIFIC AMERICAN MIND
SCI. BULL.,SCIENCE BULLETIN
SCI. CHINA CHEM.,SCIENCE CHINA CHEMISTRY
SCI. CHINA MATER.,SCIENCE CHINA MATERIALS
SCI. CHINA MATH.,SCIENCE CHINA MATHEMATICS
SCI. CHINA SER. E: TECHNOL. SCI.,SCIENCE IN CHINA SERIES E: TECHNOLOGICAL SCIENCES
SCI. CHINA TECHNOL. SCI.,SCIENCE CHINA TECHNOLOGICAL SCIENCES
"SCI. CHINA, SER. A MATH.","SCIENCE IN CHINA, SERIES A: MATHEMATICS"
"SCI. CHINA, SER. B CHEM.","SCIENCE IN CHINA, SERIES B: CHEMISTRY"
"SCI. CHINA, SER. C LIFE SCI.","SCIENCE IN CHINA, SERIES C: LIFE SCIENCES"
"SCI. CHINA, SER. D EARTH SCI.","SCIENCE IN CHINA, SERIES D: EARTH SCIENCES"
"SCI. CHINA, SER. E ENG. MATER. SCI.","SCIENCE IN CHINA, SERIES E: ENGINEERING & MATERIALS SCIENCE"
"SCI. CHINA, SER. G","SCIENCE IN CHINA, SERIES G: PHYSICS MECHANICS AND ASTRONOMY"
SCI. COMPUT. PROGRAM.,SCIENCE OF COMPUTER PROGRAMMING
SCI. CONTEXT,SCIENCE IN CONTEXT
SCI. DATA,SCIENTIFIC DATA
SCI. DRILL.,SCIENTIFIC DRILLING
SCI. EDUC.,SCIENCE & EDUCATION
SCI. ENG. COMPOS. MATER.,SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS
SCI. ENG. ETHICS,SCIENCE AND ENGINEERING ETHICS
SCI. FOR.,SCIENTIA FORESTALIS
SCI. FOUND. CHINA,SCIENCE FOUNDATION IN CHINA
SCI. HORTIC.,SCIENTIA HORTICULTURAE
SCI. IMMUNOL.,SCIENCE IMMUNOLOGY
SCI. IRAN.,SCIENTIA IRANICA
SCI. JUSTICE,SCIENCE & JUSTICE
SCI. MED. FOOTBALL,SCIENCE AND MEDICINE IN FOOTBALL
SCI. MODEL. SIMUL.,SCIENTIFIC MODELING AND SIMULATION
SCI. MODEL. SIMUL. SMNS,SCIENTIFIC MODELING AND SIMULATION SMNS
SCI. NAT.,SCIENCE OF NATURE
SCI. NEWS,SCIENCE NEWS
SCI. PHARM.,SCIENTIA PHARMACEUTICA
SCI. PROG.,SCIENCE PROGRESS
SCI. PROGRAM.,SCIENTIFIC PROGRAMMING
SCI. REMOTE SENS.,SCIENCE OF REMOTE SENSING
SCI. REP.,SCIENTIFIC REPORTS
SCI. ROB.,SCIENCE ROBOTICS
SCI. SIGNALING,SCIENCE SIGNALING
SCI. SINTERING,SCIENCE OF SINTERING
SCI. SPORTS,SCIENCE & SPORTS
SCI. TECHNOL. ADV. MATER.,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS
SCI. TECHNOL. ADV. MATER.: METHODS,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS: METHODS
SCI. TECHNOL. ARCHAEOL. RES.,SCIENCE AND TECHNOLOGY OF ARCHAEOLOGICAL RESEARCH
SCI. TECHNOL. BUILT ENVIRON.,SCIENCE AND TECHNOLOGY FOR THE BUILT ENVIRONMENT
SCI. TECHNOL. ENERGETIC MATER.,SCIENCE AND TECHNOLOGY OF ENERGETIC MATERIALS
SCI. TECHNOL. MATER.,SCIENCE AND TECHNOLOGY OF MATERIALS
SCI. TECHNOL. NUCL. INSTALL.,SCIENCE AND TECHNOLOGY OF NUCLEAR INSTALLATIONS
SCI. TECHNOL. WELD. JOINING,SCIENCE AND TECHNOLOGY OF WELDING AND JOINING
SCI. TOTAL ENVIRON.,SCIENCE OF THE TOTAL ENVIRONMENT
SCI. TRANSL. MED.,SCIENCE TRANSLATIONAL MEDICINE
SCI. WORLD J.,SCIENTIFIC WORLD JOURNAL
SCIENCEOPEN RES.,SCIENCEOPEN RESEARCH
SCIPOST PHYS.,SCIPOST PHYSICS
SCIPOST PHYS. PROC.,SCIPOST PHYSICS PROCEEDINGS
SCOTT. J. GEOL.,SCOTTISH JOURNAL OF GEOLOGY
SCR. MATER.,SCRIPTA MATERIALIA
SCR. METALL.,SCRIPTA METALLURGICA
SCR. METALL. MATER.,SCRIPTA METALLURGICA ET MATERIALIA
SEALING TECHNOL.,SEALING TECHNOLOGY
SECUR. COMMUN. NETW.,SECURITY AND COMMUNICATION NETWORKS
SEDIMENT. GEOL.,SEDIMENTARY GEOLOGY
SEED SCI. RES.,SEED SCIENCE RESEARCH
SEG DISCOVERY,SEG DISCOVERY
SEISMIC INSTRUM.,SEISMIC INSTRUMENTS
SEISMOL. RES. LETT.,SEISMOLOGICAL RESEARCH LETTERS
SEL. ANNU. REV. ANAL. SCI.,SELECTED ANNUAL REVIEWS OF THE ANALYTICAL SCIENCES
SEL. MATH. NEW SER.,SELECTA MATHEMATICA NEW SERIES
SEMICOND. SCI. TECHNOL.,SEMICONDUCTOR SCIENCE AND TECHNOLOGY
SEMIN. CANCER BIOL.,SEMINARS IN CANCER BIOLOGY
SEMIN. CELL DEV. BIOL.,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
SEMIN. CELL. BIOL.,SEMINARS IN CELL BIOLOGY
SEMIN. IMMUNOL.,SEMINARS IN IMMUNOLOGY
SEMIN. NUCL. MED.,SEMINARS IN NUCLEAR MEDICINE
SEMIN. ROENTGENOL.,SEMINARS IN ROENTGENOLOGY
SEMIN. ULTRASOUND CT MRI,"SEMINARS IN ULTRASOUND, CT AND MRI"
SEMINA CIENC. AGRAR.,SEMINA: CIENCIAS AGRARIAS
SENCKENBERGIANA BIOL.,SENCKENBERGIANA BIOLOGIE
SENCKENBERGIANA LETHAEA,SENCKENBERGIANA LETHAEA
SENS. ACTUATORS REP.,SENSORS AND ACTUATORS REPORTS
"SENS. ACTUATORS, A",SENSORS AND ACTUATORS A: PHYSICAL
"SENS. ACTUATORS, B",SENSORS AND ACTUATORS B: CHEMICAL
SENS. BIO-SENS. RES.,SENSING AND BIO-SENSING RESEARCH
SENS. INSTRUM. FOOD QUAL. SAF.,SENSING AND INSTRUMENTATION FOR FOOD QUALITY AND SAFETY
SENS. INT.,SENSORS INTERNATIONAL
SENS. LETT.,SENSOR LETTERS
SENS. MATER.,SENSORS AND MATERIALS
SENSORS UPDATE,SENSORS UPDATE
SEP. PURIF. METHODS,SEPARATION AND PURIFICATION METHODS
SEP. PURIF. REV.,SEPARATION AND PURIFICATION REVIEWS
SEP. PURIF. TECHNOL.,SEPARATION AND PURIFICATION TECHNOLOGY
SEP. SCI. PLUS,SEPARATION SCIENCE PLUS
SEP. SCI. TECHNOL.,SEPARATION SCIENCE AND TECHNOLOGY
SEP. TECHNOL.,SEPARATIONS TECHNOLOGY
SEQUENTIAL ANAL.,SEQUENTIAL ANALYSIS
SERB. ASTRON. J.,SERBIAN ASTRONOMICAL JOURNAL
SET-VALUED VAR. ANAL.,SET-VALUED AND VARIATIONAL ANALYSIS
SHAPE MEM. SUPERELASTICITY,SHAPE MEMORY AND SUPERELASTICITY
SHE JI: J. DES. ECON. INNOVATION,"SHE JI: THE JOURNAL OF DESIGN, ECONOMICS, AND INNOVATION"
SHIP TECHNOL. RES.,SHIP TECHNOLOGY RESEARCH
SHIPS OFFSHORE STRUCT.,SHIPS AND OFFSHORE STRUCTURES
SHOCK VIB.,SHOCK AND VIBRATION
SIAM J. APPL. ALGEBRA GEOM.,SIAM JOURNAL ON APPLIED ALGEBRA AND GEOMETRY
SIAM J. APPL. DYN. SYST.,SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS
SIAM J. APPL. MATH.,SIAM JOURNAL ON APPLIED MATHEMATICS
SIAM J. COMPUT.,SIAM JOURNAL ON COMPUTING
SIAM J. CONTROL OPTIM.,SIAM JOURNAL ON CONTROL AND OPTIMIZATION
SIAM J. DISCRETE MATH.,SIAM JOURNAL ON DISCRETE MATHEMATICS
SIAM J. FINANC. MATH.,SIAM JOURNAL ON FINANCIAL MATHEMATICS
SIAM J. IMAG. SCI.,SIAM JOURNAL ON IMAGING SCIENCES
SIAM J. MATH. ANAL.,SIAM JOURNAL ON MATHEMATICAL ANALYSIS
SIAM J. MATH. DATA SCI.,SIAM JOURNAL ON MATHEMATICS OF DATA SCIENCE
SIAM J. MATRIX ANAL. APPL.,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS
SIAM J. NUMER. ANAL.,SIAM JOURNAL ON NUMERICAL ANALYSIS
SIAM J. OPTIM.,SIAM JOURNAL ON OPTIMIZATION
SIAM J. SCI. COMPUT.,SIAM JOURNAL OF SCIENTIFIC COMPUTING
SIAM J. SCI. COMPUT.,SIAM JOURNAL ON SCIENTIFIC COMPUTING
SIAM REV.,SIAM REVIEW
SIAM/ASA J. UNCERTAINTY QUANTIF.,SIAM/ASA JOURNAL ON UNCERTAINTY QUANTIFICATION
SICE J. CONTROL MEAS. SYST. INTEGR.,"SICE JOURNAL OF CONTROL, MEASUREMENT, AND SYSTEM INTEGRATION"
SID SYMP. DIG. TECH. PAP.,SID SYMPOSIUM DIGEST OF TECHNICAL PAPERS
SIEMENS REV.,SIEMENS REVIEW
SIGNAL PROCESS.,SIGNAL PROCESSING
SIGNAL PROCESS. IMAGE COMMUN.,SIGNAL PROCESSING: IMAGE COMMUNICATION
SIGNAL TRANSDUCTION INSIGHTS,SIGNAL TRANSDUCTION INSIGHTS
